scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 1,Turb10_Row1_Floris,0,GP,182.137220621109,950.3275363939218,166.46327584300917,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,0,TabPFN-Fallback,162.62896406650543,848.9120450968362,164.8325274844964,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,0,GraphPFN,155.96663355827332,814.0618243805108,158.60557556152344,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 2,Turb10_Row1_Floris,0,Do-Nothing,153.96447718143463,803.5031435384899,,8.0,270.0,5.496924877166748,10.189892768859863,240.52224731445312,325.11614990234375,10
Scenario 2,Turb10_Row1_Floris,0,Random,159.80546522140503,834.1809742075376,,8.0,270.0,5.496924877166748,10.189892768859863,240.52224731445312,325.11614990234375,10
Scenario 2,Turb10_Row1_Floris,0,GP,154.66818177700043,807.4817885460916,463.5972783276653,8.0,270.0,5.496924877166748,10.189892768859863,240.52224731445312,325.11614990234375,10
Scenario 2,Turb10_Row1_Floris,0,TabPFN-Fallback,158.63979351520538,828.0185491230776,344.1070361832777,8.0,270.0,5.496924877166748,10.189892768859863,240.52224731445312,325.11614990234375,10
Scenario 2,Turb10_Row1_Floris,0,GraphPFN,155.98911821842194,814.4572409792797,383.5418395996094,8.0,270.0,5.496924877166748,10.189892768859863,240.52224731445312,325.11614990234375,10
Scenario 1,Turb10_Row1_Floris,1,Do-Nothing,153.96447718143463,803.5031435384899,,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,1,Random,154.69810593128204,807.4281391635375,,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,1,GP,174.10547590255737,908.3799183898008,174.10546847926193,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,1,TabPFN-Fallback,170.1592197418213,888.0918499922949,165.8561680664619,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,1,GraphPFN,155.46979677677155,811.8639457513572,158.57470703125,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 2,Turb10_Row1_Floris,1,Do-Nothing,153.96447718143463,803.5031435384899,,8.0,270.0,5.027004241943359,8.904255867004395,237.3830108642578,312.7274475097656,10
Scenario 2,Turb10_Row1_Floris,1,Random,154.69810593128204,807.4281391635375,,8.0,270.0,5.027004241943359,8.904255867004395,237.3830108642578,312.7274475097656,10
Scenario 2,Turb10_Row1_Floris,1,GP,154.69810593128204,807.4281391635375,370.62774658203125,8.0,270.0,5.027004241943359,8.904255867004395,237.3830108642578,312.7274475097656,10
Scenario 2,Turb10_Row1_Floris,1,TabPFN-Fallback,158.6273226737976,827.9353126949029,242.25702252487352,8.0,270.0,5.027004241943359,8.904255867004395,237.3830108642578,312.7274475097656,10
Scenario 2,Turb10_Row1_Floris,1,GraphPFN,170.81058025360107,891.6551430623852,372.258056640625,8.0,270.0,5.027004241943359,8.904255867004395,237.3830108642578,312.7274475097656,10
Scenario 1,Turb10_Row1_Floris,2,Do-Nothing,153.96447718143463,803.5031435384899,,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,2,Random,155.29012537002563,810.831714555987,,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,2,GP,168.3688122034073,878.7249130196662,168.03778964256026,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,2,TabPFN-Fallback,158.32704555988312,826.2992449665933,165.61846733589962,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,2,GraphPFN,159.09965825080872,830.560354621395,158.47146606445312,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 2,Turb10_Row1_Floris,2,Do-Nothing,153.96447718143463,803.5031435384899,,8.0,270.0,4.849485397338867,9.661709785461426,216.28810119628906,319.146728515625,10
Scenario 2,Turb10_Row1_Floris,2,Random,155.29012537002563,810.831714555987,,8.0,270.0,4.849485397338867,9.661709785461426,216.28810119628906,319.146728515625,10
Scenario 2,Turb10_Row1_Floris,2,GP,155.22172379493713,810.2732079595938,481.470742794727,8.0,270.0,4.849485397338867,9.661709785461426,216.28810119628906,319.146728515625,10
Scenario 2,Turb10_Row1_Floris,2,TabPFN-Fallback,157.6831580400467,823.7761820862971,362.24338195224607,8.0,270.0,4.849485397338867,9.661709785461426,216.28810119628906,319.146728515625,10
Scenario 2,Turb10_Row1_Floris,2,GraphPFN,155.20519065856934,810.3010868095861,395.8427734375,8.0,270.0,4.849485397338867,9.661709785461426,216.28810119628906,319.146728515625,10
Scenario 1,Turb11_Row1_Floris,0,Do-Nothing,151.40993762016296,869.6979297459562,,8.0,270.0,8.0,8.0,270.0,270.0,11
Scenario 1,Turb11_Row1_Floris,0,Random,159.2105439901352,914.6643022996486,,8.0,270.0,8.0,8.0,270.0,270.0,11
Scenario 1,Turb11_Row1_Floris,0,GP,172.312349319458,989.8076265836835,168.2394543016838,8.0,270.0,8.0,8.0,270.0,270.0,11
Scenario 1,Turb11_Row1_Floris,0,TabPFN-Fallback,175.1855753660202,1006.1435217930302,164.42251156270504,8.0,270.0,8.0,8.0,270.0,270.0,11
Scenario 1,Turb11_Row1_Floris,0,GraphPFN,154.6457178592682,888.4507074475831,156.85816955566406,8.0,270.0,8.0,8.0,270.0,270.0,11
Scenario 2,Turb11_Row1_Floris,0,Do-Nothing,151.40993762016296,869.6979297459562,,8.0,270.0,3.4819211959838867,9.5352783203125,223.4993896484375,294.57366943359375,11
Scenario 2,Turb11_Row1_Floris,0,Random,159.2105439901352,914.6643022996486,,8.0,270.0,3.4819211959838867,9.5352783203125,223.4993896484375,294.57366943359375,11
Scenario 2,Turb11_Row1_Floris,0,GP,166.43807554244995,955.9875842479704,437.6775934896307,8.0,270.0,3.4819211959838867,9.5352783203125,223.4993896484375,294.57366943359375,11
